idx,NomeEvento,NazioneEvento,LocalitaEvento,DataEvento
8d2005ec35280deb6a438dc87b225f89,TEDxRioLive,Brasil,Rio de Janeiro,3-7-17
b3072cd11f40eb57fd259555264476c6,TEDxHKBU,China,Hong Kong,18-11-17
4adc9fee977fa04c357ed4c9b52aa3cc,TEDxMoosach,Germany,Munchen,18-12-17
59c641a72b495d522a7932145d6c02b3,TEDxTiburtinoLive,Italy,Roma,27-04-17
fe612cc9179e038f97816fce891022a6,TEDxCrenshaw,UnitedStates,LosAngeles,7-10-17
6e67b6ad4cc6b420fe86fb975925fb32,TEDxMoosach,Germany,Munchen,18-12-17
c593d7fd658f9ff5bc0c1aee2e9c917e,TEDxMarseille,UnitedStates,Marseille,28-10-17
8c1fad5ce0dab8908dee527f88697ce2,TEDxZumbroRiver,UnitedStates,Rochester,18-05-17
5be32167a2dcc08470287a6029b7e4c5,TEDxTiburtinoLive,Italy,Roma,27-04-17
fa2133f1e5a865a5a5044777824fe147,TEDxTiburtinoLive,Italy,Roma,27-04-17
586938c5a53d9b916498a893248a5da3,TEDxBergamo,Italy,Bergamo,14-05-17
09704782c2fd58e9198a4cc8f04e30d0,TEDxZumbroRiver,UnitedStates,Rochester,18-05-17
d564abb00bb146ff75c7ed2d9b48aadc,TEDxZumbroRiver,UnitedStates,Rochester,18-05-17
;;;;;;;,TEDxYouth,Canada,Toronto,12-11-16
Elisabeth Pierre est passionnée ,TEDxDelhiSalon,India,New delhi,13-9-17
;;;;;;;,TEDxYouth,Canada,Toronto,12-11-16
"Elisabeth est zythologue, une de",TEDxLeicesterSalon,United Kingdom,Leicester,3-05-17
9d3f203c5a8a124ec5a1b21fe3ad1842,TEDxHKBU,China,Hong Kong,18-11-17
c8a830e0143916293557b7276958ac48,TEDxDeerPark,UnitedStates,NewYork,11-02-17
f5ae6143fa79ba55deb5e9e720b4c681,TEDxLeicesterSalon,United Kingdom,Leicester,3-05-17
0cdccbb0c544e4909e1b4716f52f2280,TEDxBergamo,Italy,Bergamo,14-05-17
2b48856a1e68b1deaae63aa0eea7b7e9,TEDxYouth,Canada,Toronto,12-11-16
50e3e579db0eef68a893b76b8199cf81,TEDxZumbroRiver,UnitedStates,Rochester,18-05-17
66dccf5471154abd3be663c350d5efe2,TEDxDeerPark,UnitedStates,NewYork,11-02-17
801e86946c2329fd5726edc0bb3e963d,TEDxRioLive,Brasil,Rio de Janeiro,3-7-17
7d12cb15860436be16912357f0be08a2,TEDxYouth,Canada,Toronto,12-11-16
d068844107e5598a288ae47bfec0f2b2,TEDxHKBU,China,Hong Kong,18-11-17
3662a6a374fcea54ec738d033b39d82f,TEDxDelhiSalon,India,New delhi,13-9-17
cc20b7b4de317a6f4059bd6feb079334,TEDxDelhiSalon,India,New delhi,13-9-17
69fe3987d601f0587dc520bfb69677ea,TEDxZumbroRiver,UnitedStates,Rochester,18-05-17
7956226f4de23c38aed5595b450c9b9d,TEDxZumbroRiver,UnitedStates,Rochester,18-05-17
",Posted Mar 2020,https://www.ted",TEDxBergamo,Italy,Bergamo,14-05-17
bbef254b3f90c8278f977ea8121a57d2,TEDxKreuzberg,Germany,Berlin,12-04-17
0074c1012512e2dcf400b1e9c035208e,TEDxDeerPark,UnitedStates,NewYork,11-02-17
5f8a936887d97bc9919f1a480d104afb,TEDxLeicesterSalon,United Kingdom,Leicester,3-05-17
1a9a6a4962016618a35dd84798a944d7,TEDxZumbroRiver,UnitedStates,Rochester,18-05-17
6521f0504d531b20520cec1473a4550e,TEDxCrenshaw,UnitedStates,LosAngeles,7-10-17
1e7aa4ab0c99b7ae0939079e546ca811,TEDxMoosach,Germany,Munchen,18-12-17
21e445747a81a2a3cc0ce460ecc7ff1a,TEDxSheffieldHallamUniversity,United Kingdom,Sheffield,25-02-17
da4e5d625c05a0dd04438d62955d9151,TEDxZumbroRiver,UnitedStates,Rochester,18-05-17
4e1a6a4fee0243d759252b0df64ce88e,TEDxBergamo,Italy,Bergamo,14-05-17
0525aec6b519ddb1d3e5f95694833fa5,TEDxHKBU,China,Hong Kong,18-11-17
3e080d2b563873460d870ca518c36b34,TEDxTiburtinoLive,Italy,Roma,27-04-17
23e788d0fced999bfa90e708ef32f8a4,TEDxRioLive,Brasil,Rio de Janeiro,3-7-17
63c86a14825aa35326adfc8e7734a5c3,TEDxRioLive,Brasil,Rio de Janeiro,3-7-17
ba54500eba96096b0cb825e86443825a,TEDxBergamo,Italy,Bergamo,14-05-17
5372b8c83c43e324b6402a6c0330be5d,TEDxKreuzberg,Germany,Berlin,12-04-17
a1497aca438d56b84dc0193fe5ca0fbe,TEDxDeerPark,UnitedStates,NewYork,11-02-17
53bf4dd0f7ee41aebe0b1855137fb2d5,TEDxUniversityofMacau,China,Macao,21-01-17
93a6023e92f55b5e3516df7f69738beb,TEDxDeerPark,UnitedStates,NewYork,11-02-17
db23fcd41cf1d29973d99b3e40e76e31,TEDxMoosach,Germany,Munchen,18-12-17
5c0d8f75d55a413648cb705b502a2b93,TEDxZumbroRiver,UnitedStates,Rochester,18-05-17
f14e7d08564e3ffc76e1b0d058170d4a,TEDxBergamo,Italy,Bergamo,14-05-17
0a32870bdf03f29da4951da4cc1c3880,TEDxZumbroRiver,UnitedStates,Rochester,18-05-17
429ab8f1396554b0ac090830e8d9f7b3,TEDxHKBU,China,Hong Kong,18-11-17
6e4888a48bcd85008f345c55c33777f6,TEDxZumbroRiver,UnitedStates,Rochester,18-05-17
a66be2eb55146d1a3d3b260e7b68a854,TEDxRioLive,Brasil,Rio de Janeiro,3-7-17
cac248b0da47c9e5f7ee15c6a33da68a,TEDxUniversityofMacau,China,Macao,21-01-17
9477b810e01661d29601d8c572b281bd,TEDxCrenshaw,UnitedStates,LosAngeles,7-10-17
def79f9a3f3a0cb22484dcc758adc6a4,TEDxYouth,Canada,Toronto,12-11-16
26dc8d09d322b82a33bc62e127431647,TEDxDelhiSalon,India,New delhi,13-9-17
dc0ed4137fb333390def20ec1672cd55,TEDxDelhiSalon,India,New delhi,13-9-17
f17c648819219e85999cc812ccd5f29f,TEDxHKBU,China,Hong Kong,18-11-17
7ec449bbdb177f83381c4af03d1c83c5,TEDxHKBU,China,Hong Kong,18-11-17
7f755bbd0a7fc4985f3820757dd93110,TEDxMarseille,UnitedStates,Marseille,28-10-17
d52bd7165de5a7173b158980ecb446c8,TEDxUniversityofMacau,China,Macao,21-01-17
197bee94737f5474ae04d4a91c83d152,TEDxLeicesterSalon,United Kingdom,Leicester,3-05-17
79564f003eed56162988b6d648388d3b,TEDxDelhiSalon,India,New delhi,13-9-17
83f4cf1b0fe94ba956f511803045c29c,TEDxUniversityofMacau,China,Macao,21-01-17
b62a68bbb3d0e82dd3bffc784c5e902a,TEDxYouth,Canada,Toronto,12-11-16
311063b13ba8262730f7c17c0c6c0253,TEDxTiburtinoLive,Italy,Roma,27-04-17
79c85fbbc9a732c0bfafd3276462cdde,TEDxHKBU,China,Hong Kong,18-11-17
ea2c7a15d82ed2ba02f59d9013cf77fb,TEDxLeicesterSalon,United Kingdom,Leicester,3-05-17
a4d7b980480159fa42f4279761da6c26,TEDxZumbroRiver,UnitedStates,Rochester,18-05-17
b2e4ec7fe28f26651027c1c0f0edd724,TEDxTiburtinoLive,Italy,Roma,27-04-17
fddaa41d358399411ccd3094d27d87ce,TEDxDelhiSalon,India,New delhi,13-9-17
845600f6020d88c27611a78fcf0aaf3d,TEDxLeicesterSalon,United Kingdom,Leicester,3-05-17
8544fa7f0c5a24faf08ca985a32000e0,TEDxMoosach,Germany,Munchen,18-12-17
